Variables = x, y, u, v, p

Zone, I=1000, F=POINT
         500            0  4.64375e-15 -2.90093e-25  -0.00551818 
         500      4.69688     0.988993   0.00101479  -0.00551691 
         500      4.73453     0.989535   0.00101673  -0.00551688 
         500      4.77233     0.990044   0.00101859  -0.00551686 
         500      4.81028     0.990519   0.00102037  -0.00551684 
         500      4.84838     0.990963   0.00102208  -0.00551682 
         500      4.88663     0.991377   0.00102371   -0.0055168 
         500      4.92504     0.991762   0.00102528  -0.00551678 
         500      4.96359     0.992121   0.00102678  -0.00551677 
         500      5.00229     0.992455   0.00102821  -0.00551676 
         500      5.04114     0.992765   0.00102958  -0.00551675 
         500      5.08014     0.993052   0.00103089  -0.00551674 
         500       5.1193     0.993317   0.00103213  -0.00551672 
         500       5.1586     0.993563    0.0010333   -0.0055167 
         500      5.19806     0.993791    0.0010344  -0.00551666 
         500      5.23766     0.994001    0.0010354  -0.00551661 
         500      5.27741     0.994194    0.0010365  -0.00551655 
         500      5.31732     0.994372   0.00103752  -0.00551651 
         500      5.35737     0.994536   0.00103848  -0.00551648 
         500      5.39758     0.994686   0.00103939  -0.00551646 
         500      5.43793     0.994824   0.00104027  -0.00551645 
         500      5.47844      0.99495   0.00104113  -0.00551644 
         500       5.5191     0.995066   0.00104196  -0.00551644 
         500       5.5599     0.995171   0.00104276  -0.00551644 
         500      5.60086     0.995267   0.00104354  -0.00551644 
         500      5.64197     0.995355   0.00104427  -0.00551644 
         500      5.68322     0.995434   0.00104496  -0.00551643 
         500      5.72463     0.995507   0.00104561  -0.00551642 
         500      5.76619     0.995572   0.00104621  -0.00551641 
         500       5.8079     0.995632   0.00104679   -0.0055164 
         500      5.84976     0.995686   0.00104737  -0.00551639 
         500      5.89177     0.995737     0.001048  -0.00551639 
         500      5.93393     0.995781   0.00104862  -0.00551638 
         500      5.97623     0.995819   0.00104917  -0.00551635 
         500      6.01869     0.995855   0.00104972  -0.00551632 
         500       6.0613     0.995887   0.00105029  -0.00551628 
         500      6.10406     0.995916   0.00105085  -0.00551625 
         500      6.14698     0.995943    0.0010514  -0.00551621 
         500      6.19004     0.995966   0.00105195  -0.00551619 
         500      6.23325     0.995986    0.0010525  -0.00551616 
         500      6.27661     0.996005   0.00105303  -0.00551614 
         500      6.32012     0.996021   0.00105356  -0.00551613 
         500      6.36378     0.996035   0.00105408  -0.00551611 
         500      6.40759     0.996048   0.00105459   -0.0055161 
         500      6.45156      0.99606    0.0010551   -0.0055161 
         500      6.49567      0.99607    0.0010556  -0.00551609 
         500      6.53993     0.996079   0.00105609  -0.00551609 
         500      6.58435     0.996087   0.00105657  -0.00551609 
         500      6.62891     0.996095   0.00105705  -0.00551609 
         500      6.67363     0.996102   0.00105752  -0.00551609 
         500      6.71849     0.996108   0.00105798  -0.00551609 
         500      6.76351     0.996113   0.00105843  -0.00551609 
         500      6.80867     0.996118   0.00105888  -0.00551609 
         500      6.85399     0.996122   0.00105932   -0.0055161 
         500      6.89945     0.996125   0.00105976   -0.0055161 
         500      6.94507     0.996128    0.0010602   -0.0055161 
         500      6.99083     0.996131   0.00106064   -0.0055161 
         500      7.03675     0.996133   0.00106109   -0.0055161 
         500      7.08282     0.996134   0.00106154   -0.0055161 
         500      7.12904     0.996136     0.001062  -0.00551609 
         500       7.1754     0.996138   0.00106247  -0.00551609 
         500      7.22192     0.996139   0.00106295  -0.00551608 
         500      7.26859     0.996141   0.00106343  -0.00551606 
         500      7.31541     0.996142   0.00106392  -0.00551604 
         500      7.36238     0.996144   0.00106442  -0.00551601 
         500       7.4095     0.996146    0.0010649  -0.00551597 
         500      7.45677     0.996148   0.00106538  -0.00551593 
         500      7.50418      0.99615   0.00106584  -0.00551588 
         500      7.55175     0.996151   0.00106627  -0.00551582 
         500      7.59948     0.996152   0.00106671  -0.00551579 
         500      7.64735     0.996152    0.0010672  -0.00551577 
         500      7.69537     0.996152   0.00106768  -0.00551577 
         500      7.74354     0.996152   0.00106817  -0.00551577 
         500      7.79186     0.996151   0.00106864  -0.00551578 
         500      7.84033     0.996151    0.0010691  -0.00551582 
         500      7.88895     0.996151   0.00106957  -0.00551587 
         500      7.93773     0.996151   0.00107006  -0.00551594 
         500      7.98665      0.99615   0.00107063  -0.00551604 
         500      8.03572     0.996148   0.00107135  -0.00551617 
         500      8.08494     0.996148   0.00107211  -0.00551617 
         500      8.13432     0.996151   0.00107265  -0.00551612 
         500      8.18384     0.996154   0.00107306  -0.00551621 
         500      8.23352     0.996155   0.00107331  -0.00551649 
         500      8.28334     0.996157   0.00107345  -0.00551688 
         500      8.33332     0.996155    0.0010742  -0.00551634 
         500      8.38344     0.996154   0.00107488  -0.00551596 
         500      8.43372     0.996155   0.00107555  -0.00551572 
         500      8.48414     0.996156   0.00107622  -0.00551557 
