Variables = x, y, u, v, p

Zone, I=400, F=POINT
          50            0  2.61656e-18 -4.70832e-30  -0.00741999 
          50      41.2761     0.999862   0.00151506   -0.0073708 
          50      41.5554     0.999862   0.00151508  -0.00737069 
          50      41.8358     0.999863    0.0015154  -0.00737058 
          50       42.117     0.999863   0.00151609  -0.00737046 
          50      42.3992     0.999862   0.00151713  -0.00737031 
          50      42.6823     0.999862    0.0015184  -0.00737012 
          50      42.9664     0.999861   0.00151976   -0.0073699 
          50      43.2514      0.99986   0.00152104  -0.00736966 
          50      43.5373     0.999859   0.00152213  -0.00736941 
          50      43.8243     0.999859   0.00152294  -0.00736917 
          50      44.1121     0.999859   0.00152347  -0.00736894 
          50      44.4009     0.999859    0.0015238  -0.00736874 
          50      44.6906     0.999859   0.00152407  -0.00736857 
          50      44.9813      0.99986   0.00152442  -0.00736842 
          50      45.2729     0.999861     0.001525  -0.00736828 
          50      45.5654     0.999862   0.00152591  -0.00736815 
          50      45.8589     0.999863   0.00152714  -0.00736802 
          50      46.1534     0.999864   0.00152853  -0.00736785 
          50      46.4488     0.999865   0.00152984  -0.00736765 
          50      46.7451     0.999865   0.00153077  -0.00736741 
          50      47.0423     0.999864   0.00153108  -0.00736714 
          50      47.3406     0.999862   0.00153093  -0.00736688 
          50      47.6397     0.999859   0.00153117  -0.00736671 
          50      47.9398     0.999856   0.00153401  -0.00736675 
          50      48.2409     0.999856   0.00153478  -0.00736653 
          50      48.5428     0.999857   0.00153353  -0.00736612 
          50      48.8457     0.999859   0.00153407  -0.00736589 
          50      49.1496     0.999859   0.00153543  -0.00736575 
          50      49.4545     0.999859     0.001537  -0.00736566 
          50      49.7602     0.999859   0.00153844  -0.00736556 
          50      50.0668     0.999858   0.00153959  -0.00736544 
          50      50.3744     0.999857   0.00154043  -0.00736528 
          50      50.6831     0.999857   0.00154099  -0.00736507 
          50      50.9926     0.999858   0.00154139  -0.00736482 
          50       51.303     0.999859   0.00154173  -0.00736455 
          50      51.6144      0.99986   0.00154213  -0.00736427 
          50      51.9268     0.999861    0.0015427  -0.00736402 
          50        52.24     0.999861   0.00154352   -0.0073638 
          50      52.5542     0.999861   0.00154461  -0.00736363 
          50      52.8694      0.99986   0.00154591   -0.0073635 
          50      53.1856     0.999859   0.00154722  -0.00736339 
          50      53.5026      0.99986   0.00154815  -0.00736324 
          50      53.8205     0.999863   0.00154859  -0.00736302 
          50      54.1396     0.999862   0.00155058  -0.00736295 
          50      54.4594     0.999861   0.00155204  -0.00736289 
          50      54.7802     0.999861   0.00155302  -0.00736284 
          50      55.1019     0.999861   0.00155362  -0.00736277 
          50      55.4247     0.999861   0.00155396  -0.00736268 
          50      55.7483     0.999861    0.0015542  -0.00736258 
          50      56.0729     0.999861   0.00155449  -0.00736244 
          50      56.3984     0.999861   0.00155493  -0.00736229 
          50       56.725     0.999861   0.00155562  -0.00736211 
          50      57.0523     0.999862   0.00155656  -0.00736193 
          50      57.3807     0.999862   0.00155772  -0.00736173 
          50      57.7099     0.999863   0.00155899  -0.00736155 
          50      58.0403     0.999863   0.00156022  -0.00736139 
          50      58.3714     0.999863   0.00156125  -0.00736127 
          50      58.7035     0.999862     0.001562  -0.00736119 
          50      59.0367     0.999862   0.00156252  -0.00736118 
          50      59.3707     0.999863   0.00156318  -0.00736124 
          50      59.7056      0.99987   0.00156484  -0.00736137 
          50      60.0414     0.999872   0.00156639  -0.00736126 
          50      60.3784     0.999858   0.00156573   -0.0073607 
          50      60.7161     0.999854   0.00156617  -0.00736026 
          50      61.0548     0.999856   0.00156713  -0.00735994 
          50      61.3944     0.999859   0.00156827  -0.00735975 
          50      61.7351     0.999862   0.00156939  -0.00735965 
          50      62.0767     0.999865   0.00157041  -0.00735964 
          50      62.4191     0.999866   0.00157134  -0.00735967 
          50      62.7625     0.999865   0.00157219  -0.00735973 
          50       63.107     0.999865   0.00157303  -0.00735978 
          50      63.4523     0.999863   0.00157388   -0.0073598 
          50      63.7985     0.999862   0.00157478  -0.00735978 
          50      64.1458     0.999861   0.00157573   -0.0073597 
          50      64.4939     0.999861   0.00157674  -0.00735955 
          50       64.843     0.999862   0.00157777  -0.00735934 
          50      65.1929     0.999863   0.00157879  -0.00735908 
          50       65.544     0.999865   0.00157978  -0.00735879 
          50      65.8959     0.999866    0.0015807  -0.00735848 
          50      66.2487     0.999868   0.00158155  -0.00735819 
          50      66.6025      0.99987   0.00158233  -0.00735795 
          50      66.9573     0.999871   0.00158307   -0.0073578 
          50       67.313     0.999871   0.00158386  -0.00735778 
          50      67.6695      0.99987   0.00158476  -0.00735793 
          50      68.0271     0.999867   0.00158592  -0.00735827 
          50      68.3857     0.999864   0.00158745  -0.00735884 
          50      68.7451     0.999858   0.00158948  -0.00735967 
          50      69.1055     0.999851   0.00159215  -0.00736074 
          50      69.4669     0.999854    0.0015916  -0.00735954 
          50      69.8291     0.999857   0.00159125  -0.00735863 
          50      70.1923     0.999861   0.00159135  -0.00735809 
          50      70.5564     0.999864   0.00159182  -0.00735786 
          50      70.9217     0.999867   0.00159262  -0.00735785 
          50      71.2877     0.999869   0.00159367  -0.00735799 
          50      71.6546     0.999869   0.00159491  -0.00735818 
          50      72.0225     0.999868   0.00159628  -0.00735838 
          50      72.3915     0.999864    0.0015977  -0.00735852 
          50      72.7613     0.999859   0.00159911  -0.00735856 
          50       73.132     0.999853   0.00160045  -0.00735847 
          50      73.5036     0.999849   0.00160166  -0.00735824 
          50      73.8764     0.999851   0.00160266  -0.00735788 
          50      74.2499     0.999868   0.00160342  -0.00735741 
          50      74.6244     0.999912   0.00160388   -0.0073569 
          50           75            1   0.00160405  -0.00735641 
