Variables = x, y, u, v, p

Zone, I=1000, F=POINT
         -30            0  3.60992e-16 -1.75494e-28  -0.00931558 
         -30      3.15818      0.99783   0.00157847   -0.0093076 
         -30      3.18907      0.99807   0.00157986  -0.00930748 
         -30      3.22011     0.998286   0.00158114  -0.00930736 
         -30      3.25129     0.998479   0.00158231  -0.00930724 
         -30      3.28263     0.998652   0.00158338  -0.00930712 
         -30      3.31412     0.998806   0.00158436  -0.00930699 
         -30      3.34576     0.998944   0.00158525  -0.00930687 
         -30      3.37754     0.999066   0.00158607  -0.00930675 
         -30      3.40948     0.999174   0.00158682  -0.00930662 
         -30      3.44157      0.99927   0.00158751  -0.00930649 
         -30      3.47381     0.999354   0.00158814  -0.00930635 
         -30       3.5062     0.999429   0.00158872  -0.00930621 
         -30      3.53874     0.999494   0.00158926  -0.00930607 
         -30      3.57143     0.999552   0.00158975  -0.00930592 
         -30      3.60427     0.999602    0.0015902  -0.00930579 
         -30      3.63726     0.999646   0.00159061  -0.00930566 
         -30       3.6704     0.999684   0.00159099  -0.00930553 
         -30       3.7037     0.999717   0.00159135   -0.0093054 
         -30      3.73714     0.999746   0.00159168  -0.00930526 
         -30      3.77073     0.999771   0.00159199  -0.00930513 
         -30      3.80447     0.999792   0.00159228  -0.00930499 
         -30      3.83837     0.999811   0.00159255  -0.00930485 
         -30      3.87241     0.999827   0.00159281  -0.00930471 
         -30       3.9066     0.999841   0.00159304  -0.00930457 
         -30      3.94095     0.999852   0.00159326  -0.00930443 
         -30      3.97544     0.999863   0.00159347  -0.00930428 
         -30      4.01008     0.999871   0.00159368  -0.00930413 
         -30      4.04488     0.999878   0.00159392  -0.00930399 
         -30      4.07982     0.999885   0.00159412  -0.00930385 
         -30      4.11492      0.99989   0.00159428  -0.00930371 
         -30      4.15016     0.999894   0.00159447  -0.00930356 
         -30      4.18556     0.999898   0.00159466  -0.00930342 
         -30       4.2211     0.999901   0.00159485  -0.00930327 
         -30       4.2568     0.999904   0.00159503  -0.00930311 
         -30      4.29265     0.999906   0.00159521  -0.00930296 
         -30      4.32864     0.999908   0.00159538  -0.00930281 
         -30      4.36479     0.999909   0.00159556  -0.00930266 
         -30      4.40109     0.999911   0.00159574  -0.00930251 
         -30      4.43754     0.999912   0.00159592  -0.00930237 
         -30      4.47413     0.999913   0.00159611  -0.00930224 
         -30      4.51088     0.999915    0.0015963  -0.00930213 
         -30      4.54778     0.999916    0.0015965  -0.00930204 
         -30      4.58483     0.999916   0.00159674  -0.00930197 
         -30      4.62203     0.999916   0.00159695  -0.00930187 
         -30      4.65938     0.999917   0.00159716  -0.00930175 
         -30      4.69688     0.999917   0.00159735  -0.00930162 
         -30      4.73453     0.999918   0.00159753  -0.00930148 
         -30      4.77233     0.999918    0.0015977  -0.00930132 
