Variables = x, y, u, v, p

Zone, I=800, F=POINT
          20            0  3.26216e-18 -3.57213e-26   0.00180924 
          20      16.5002     0.999414   0.00136524   0.00038008 
          20       16.625     0.999418    0.0013655  0.000375981 
          20      16.7501     0.999423   0.00136576  0.000371933 
          20      16.8759     0.999427   0.00136602  0.000367929 
          20       17.002     0.999432   0.00136628   0.00036397 
          20      17.1287     0.999436   0.00136655  0.000360049 
          20      17.2557     0.999441   0.00136683  0.000356172 
          20      17.3834     0.999445   0.00136713  0.000352331 
          20      17.5115     0.999449    0.0013674  0.000348534 
          20      17.6399     0.999453   0.00136765   0.00034479 
          20       17.769     0.999457   0.00136803  0.000341086 
          20      17.8984     0.999461   0.00136837  0.000337427 
          20      18.0284     0.999466   0.00136869  0.000333802 
          20      18.1587      0.99947   0.00136902  0.000330217 
          20      18.2896     0.999474   0.00136934  0.000326666 
          20       18.421     0.999478   0.00136968  0.000323154 
          20      18.5528     0.999482   0.00137002  0.000319688 
          20      18.6851     0.999485   0.00137037  0.000316266 
          20      18.8178     0.999489   0.00137075  0.000312893 
          20      18.9511     0.999493   0.00137113  0.000309557 
          20      19.0847     0.999497   0.00137148  0.000306244 
          20      19.2189     0.999501   0.00137172  0.000302914 
          20      19.3535     0.999505   0.00137217  0.000299715 
          20      19.4886     0.999508   0.00137257  0.000296521 
          20      19.6242     0.999512   0.00137294  0.000293346 
          20      19.7602     0.999516   0.00137332  0.000290203 
          20      19.8968     0.999519   0.00137371  0.000287093 
          20      20.0337     0.999522   0.00137411  0.000284024 
          20      20.1712     0.999526   0.00137451  0.000280992 
          20      20.3091     0.999529    0.0013749  0.000277999 
          20      20.4475     0.999533   0.00137527  0.000275039 
          20      20.5864     0.999537   0.00137564  0.000272111 
          20      20.7257      0.99954   0.00137602  0.000269217 
          20      20.8655     0.999543   0.00137642  0.000266351 
          20      21.0058     0.999547   0.00137686  0.000263518 
          20      21.1465      0.99955   0.00137728  0.000260717 
          20      21.2877     0.999554   0.00137754  0.000257957 
          20      21.4294     0.999557   0.00137806  0.000255216 
          20      21.5716      0.99956    0.0013785  0.000252511 
          20      21.7142     0.999563   0.00137891  0.000249844 
          20      21.8573     0.999566   0.00137929  0.000247209 
          20      22.0008     0.999569   0.00137968  0.000244609 
          20      22.1449     0.999572   0.00138009  0.000242038 
          20      22.2893     0.999575    0.0013805    0.0002395 
          20      22.4344     0.999578   0.00138093  0.000236988 
          20      22.5797     0.999581   0.00138136  0.000234506 
          20      22.7257     0.999584    0.0013818  0.000232048 
          20      22.8721     0.999587   0.00138223  0.000229615 
          20      23.0189      0.99959   0.00138266  0.000227208 
          20      23.1663     0.999593   0.00138307  0.000224823 
          20       23.314     0.999596   0.00138348  0.000222463 
          20      23.4623     0.999599   0.00138389  0.000220124 
          20       23.611     0.999602   0.00138429   0.00021781 
          20      23.7602     0.999605   0.00138469  0.000215518 
          20        23.91     0.999607   0.00138509   0.00021325 
          20        24.06      0.99961    0.0013855  0.000211009 
          20      24.2107     0.999613   0.00138592  0.000208794 
          20      24.3617     0.999615   0.00138635  0.000206608 
          20      24.5133     0.999618   0.00138679  0.000204451 
          20      24.6653     0.999621   0.00138724  0.000202326 
          20      24.8178     0.999623   0.00138769   0.00020023 
          20      24.9708     0.999626   0.00138815  0.000198167 
          20      25.1242     0.999629    0.0013886  0.000196136 
          20      25.2781     0.999631   0.00138904  0.000194131 
          20      25.4324     0.999634   0.00138947  0.000192153 
          20      25.5873     0.999637   0.00138987   0.00019019 
          20      25.7426     0.999639   0.00139024  0.000188237 
          20      25.8984     0.999642   0.00139058  0.000186276 
          20      26.0546     0.999644   0.00139089  0.000184293 
          20      26.2114     0.999647    0.0013912  0.000182341 
          20      26.3686     0.999648   0.00139161  0.000180608 
          20      26.5262     0.999651   0.00139212  0.000178839 
          20      26.6844     0.999654   0.00139278  0.000177022 
          20      26.8429     0.999656   0.00139319  0.000175253 
          20       27.002     0.999658   0.00139351   0.00017348 
          20      27.1615      0.99966   0.00139385  0.000171702 
          20      27.3216     0.999663   0.00139426   0.00016992 
          20      27.4821     0.999666   0.00139471  0.000168147 
          20       27.643     0.999668   0.00139507  0.000166415 
          20      27.8044      0.99967   0.00139547  0.000164711 
          20      27.9663     0.999672   0.00139588  0.000163036 
          20      28.1287     0.999674   0.00139629  0.000161389 
          20      28.2914     0.999677    0.0013967   0.00015977 
          20      28.4548     0.999679    0.0013971  0.000158175 
          20      28.6185     0.999681    0.0013975  0.000156605 
          20      28.7828     0.999683    0.0013979  0.000155054 
          20      28.9475     0.999685    0.0013983  0.000153522 
          20      29.1126     0.999687   0.00139871  0.000152009 
          20      29.2784     0.999689   0.00139912  0.000150511 
          20      29.4444     0.999691   0.00139954  0.000149029 
          20       29.611     0.999693   0.00139996  0.000147561 
          20       29.778     0.999696   0.00140038  0.000146109 
          20      29.9456     0.999698   0.00140079  0.000144671 
          20      30.1137       0.9997   0.00140118  0.000143248 
          20      30.2821     0.999702   0.00140156  0.000141841 
          20      30.4511     0.999704   0.00140192   0.00014045 
          20      30.6204     0.999706   0.00140225  0.000139077 
          20      30.7903     0.999708   0.00140257   0.00013772 
          20      30.9606      0.99971   0.00140289  0.000136381 
          20      31.1315     0.999712   0.00140322  0.000135059 
          20      31.3028     0.999714   0.00140357  0.000133753 
          20      31.4745     0.999715   0.00140396  0.000132465 
          20      31.6468     0.999717   0.00140439  0.000131192 
          20      31.8194     0.999719   0.00140484  0.000129937 
          20      31.9926      0.99972   0.00140529  0.000128698 
          20      32.1662     0.999721   0.00140563   0.00012748 
          20      32.3404     0.999723   0.00140573  0.000126284 
          20      32.5149     0.999726   0.00140637  0.000125124 
          20        32.69     0.999728   0.00140681  0.000123965 
          20      32.8655     0.999731   0.00140713  0.000122811 
          20      33.0414     0.999733   0.00140743  0.000121666 
          20       33.218     0.999734   0.00140775   0.00012053 
          20      33.3948     0.999736    0.0014081  0.000119407 
          20      33.5723     0.999737   0.00140849  0.000118297 
          20        33.75     0.999738   0.00140889  0.000117203 
          20      33.9284      0.99974    0.0014093  0.000116128 
          20      34.1073     0.999742   0.00140969  0.000115075 
          20      34.2865     0.999743   0.00141006  0.000114046 
          20      34.4663     0.999745   0.00141042  0.000113039 
          20      34.6465     0.999747   0.00141076  0.000112053 
          20      34.8272     0.999749   0.00141109  0.000111077 
          20      35.0083     0.999751    0.0014114  0.000110099 
          20        35.19     0.999752   0.00141165  0.000109095 
          20      35.3721     0.999754   0.00141181  0.000108037 
          20      35.5546     0.999756   0.00141221  0.000107124 
          20      35.7377     0.999757    0.0014127  0.000106286 
          20      35.9211     0.999759   0.00141311  0.000105408 
          20      36.1052      0.99976   0.00141347  0.000104502 
          20      36.2895     0.999762   0.00141379  0.000103583 
          20      36.4745     0.999763   0.00141409  0.000102658 
          20      36.6598     0.999765    0.0014144  0.000101739 
          20      36.8457     0.999767   0.00141471  0.000100831 
          20      37.0321     0.999768   0.00141503  9.99404e-05 
          20      37.2188      0.99977   0.00141536  9.90722e-05 
          20      37.4062     0.999771    0.0014157  9.82275e-05 
          20      37.5938     0.999773   0.00141603  9.74089e-05 
          20      37.7821     0.999774   0.00141636  9.66148e-05 
          20      37.9707     0.999776   0.00141669   9.5845e-05 
          20      38.1599     0.999777   0.00141701  9.50956e-05 
          20      38.3496     0.999778   0.00141733  9.43629e-05 
          20      38.5396     0.999779   0.00141765  9.36424e-05 
          20      38.7302      0.99978   0.00141799  9.29263e-05 
          20      38.9211     0.999782   0.00141832  9.22083e-05 
          20      39.1127     0.999784   0.00141863  9.14744e-05 
          20      39.3046     0.999785   0.00141889  9.07193e-05 
          20      39.4971     0.999787   0.00141912  8.99775e-05 
          20      39.6899     0.999788   0.00141935  8.92663e-05 
          20      39.8833      0.99979    0.0014196  8.85897e-05 
          20      40.0772     0.999791   0.00141989   8.7945e-05 
          20      40.2714     0.999792   0.00142023  8.73241e-05 
          20      40.4663     0.999794   0.00142061   8.6715e-05 
          20      40.6615     0.999795     0.001421  8.61076e-05 
          20      40.8573     0.999797   0.00142139  8.54921e-05 
          20      41.0534     0.999798   0.00142172   8.4865e-05 
          20      41.2501     0.999799     0.001422   8.4226e-05 
          20      41.4473     0.999801   0.00142221  8.35823e-05 
          20      41.6448     0.999802   0.00142237  8.29457e-05 
          20      41.8429     0.999803   0.00142253    8.233e-05 
          20      42.0414     0.999805   0.00142273  8.17511e-05 
          20      42.2405     0.999806   0.00142304  8.12178e-05 
          20      42.4399     0.999807   0.00142349  8.07296e-05 
          20      42.6399     0.999808   0.00142402  8.02638e-05 
          20      42.8404     0.999809   0.00142444  7.97677e-05 
          20      43.0412     0.999811    0.0014243  7.91437e-05 
          20      43.2426     0.999813   0.00142426   7.8551e-05 
          20      43.4444     0.999813   0.00142515  7.81918e-05 
          20      43.6467     0.999814   0.00142559   7.7741e-05 
          20      43.8494     0.999815   0.00142578  7.72405e-05 
          20      44.0527     0.999816   0.00142587    7.672e-05 
          20      44.2563     0.999817   0.00142595  7.62012e-05 
          20      44.4606     0.999818   0.00142608  7.56968e-05 
          20      44.6653     0.999819   0.00142627  7.52145e-05 
          20      44.8704      0.99982   0.00142653  7.47577e-05 
          20       45.076     0.999822   0.00142685  7.43251e-05 
          20       45.282     0.999823   0.00142719  7.39146e-05 
          20      45.4886     0.999824   0.00142756  7.35215e-05 
          20      45.6955     0.999825   0.00142791  7.31418e-05 
          20       45.903     0.999826   0.00142824    7.277e-05 
          20      46.1111     0.999828   0.00142854  7.24023e-05 
          20      46.3194     0.999829    0.0014288  7.20357e-05 
          20      46.5283      0.99983   0.00142903  7.16672e-05 
          20      46.7376     0.999832   0.00142922  7.12961e-05 
          20      46.9475     0.999833   0.00142938   7.0922e-05 
          20      47.1577     0.999834   0.00142954  7.05464e-05 
          20      47.3685     0.999835    0.0014297  7.01709e-05 
          20      47.5798     0.999836   0.00142987  6.97983e-05 
          20      47.7914     0.999837   0.00143007  6.94321e-05 
          20      48.0037     0.999838   0.00143031  6.90751e-05 
          20      48.2162     0.999839   0.00143058  6.87309e-05 
          20      48.4294      0.99984   0.00143089  6.84016e-05 
          20      48.6429     0.999841   0.00143123  6.80896e-05 
          20       48.857     0.999841   0.00143159  6.77951e-05 
          20      49.0714     0.999842   0.00143195  6.75184e-05 
          20      49.2865     0.999843    0.0014323  6.72573e-05 
          20       49.502     0.999844   0.00143263  6.70089e-05 
          20      49.7179     0.999845    0.0014329  6.67694e-05 
          20      49.9343     0.999846   0.00143311  6.65333e-05 
          20      50.1511     0.999847   0.00143325  6.62956e-05 
          20      50.3685     0.999848   0.00143332   6.6051e-05 
          20      50.5862     0.999849   0.00143333  6.57962e-05 
          20      50.8046     0.999851   0.00143332  6.55296e-05 
          20      51.0234     0.999852   0.00143333  6.52545e-05 
          20      51.2425     0.999853   0.00143343    6.498e-05 
          20      51.4623     0.999854   0.00143372  6.47231e-05 
          20      51.6824     0.999855   0.00143431  6.45127e-05 
          20      51.9031     0.999856   0.00143535  6.43911e-05 
          20      52.1241     0.999858   0.00143574  6.43109e-05 
          20      52.3457     0.999858   0.00143563  6.41979e-05 
          20      52.5676     0.999858   0.00143559  6.39799e-05 
          20      52.7902     0.999858   0.00143548   6.3758e-05 
          20      53.0133     0.999859   0.00143551    6.357e-05 
          20      53.2366     0.999861   0.00143565  6.34078e-05 
          20      53.4606     0.999862   0.00143585  6.32641e-05 
          20      53.6849     0.999863    0.0014361  6.31337e-05 
          20      53.9099     0.999864   0.00143637  6.30121e-05 
          20      54.1351     0.999865   0.00143664  6.28959e-05 
          20       54.361     0.999866   0.00143691  6.27826e-05 
          20      54.5873     0.999868   0.00143716  6.26705e-05 
          20      54.8139     0.999869   0.00143739  6.25586e-05 
          20      55.0412      0.99987    0.0014376  6.24462e-05 
          20      55.2688     0.999871   0.00143779  6.23334e-05 
          20       55.497     0.999872   0.00143796  6.22203e-05 
          20      55.7255     0.999873   0.00143812  6.21075e-05 
          20      55.9547     0.999874   0.00143826  6.19957e-05 
          20      56.1844     0.999874    0.0014384  6.18858e-05 
          20      56.4143     0.999875   0.00143853  6.17788e-05 
          20      56.6449     0.999876   0.00143865  6.16755e-05 
          20      56.8757     0.999877   0.00143878  6.15771e-05 
          20      57.1072     0.999878   0.00143892  6.14844e-05 
          20       57.339     0.999878   0.00143906  6.13983e-05 
          20      57.5715     0.999879   0.00143922  6.13195e-05 
          20      57.8042      0.99988   0.00143938  6.12488e-05 
          20      58.0376     0.999881   0.00143956  6.11865e-05 
          20      58.2715     0.999882   0.00143974  6.11333e-05 
          20      58.5057     0.999883   0.00143993  6.10893e-05 
          20      58.7405     0.999883   0.00144014  6.10546e-05 
          20      58.9756     0.999884   0.00144034  6.10295e-05 
          20      59.2113     0.999885   0.00144056  6.10136e-05 
          20      59.4473     0.999886   0.00144077   6.1007e-05 
          20       59.684     0.999887   0.00144098  6.10093e-05 
          20      59.9212     0.999888   0.00144118  6.10202e-05 
          20      60.1586     0.999889   0.00144138  6.10393e-05 
          20      60.3967     0.999889   0.00144158  6.10661e-05 
          20      60.6351      0.99989   0.00144176  6.11001e-05 
          20      60.8741     0.999891   0.00144193  6.11408e-05 
          20      61.1135     0.999891   0.00144209  6.11875e-05 
          20      61.3534     0.999892   0.00144224  6.12396e-05 
          20      61.5939     0.999893   0.00144238  6.12965e-05 
          20      61.8346     0.999893   0.00144251  6.13573e-05 
          20       62.076     0.999894   0.00144264  6.14213e-05 
          20      62.3177     0.999895   0.00144277  6.14873e-05 
          20        62.56     0.999895    0.0014429  6.15543e-05 
          20      62.8026     0.999896   0.00144303  6.16208e-05 
          20      63.0459     0.999897   0.00144318  6.16851e-05 
          20      63.2894     0.999898   0.00144333   6.1745e-05 
